Title,Authors,Publish Date,Topic,Abstract,Citation
Making Responsible AI the Norm rather than the Exception,Abhishek Gupta,2021-01-28T06:39:01Z,Responsible AI,"  This report prepared by the Montreal AI Ethics Institute provides
recommendations in response to the National Security Commission on Artificial
Intelligence (NSCAI) Key Considerations for Responsible Development and
Fielding of Artificial Intelligence document. The report centres on the idea
that Responsible AI should be made the Norm rather than an Exception. It does
so by utilizing the guiding principles of: (1) alleviating friction in existing
workflows, (2) empowering stakeholders to get buy-in, and (3) conducting an
effective translation of abstract standards into actionable engineering
practices. After providing some overarching comments on the document from the
NSCAI, the report dives into the primary contribution of an actionable
framework to help operationalize the ideas presented in the document from the
NSCAI. The framework consists of: (1) a learning, knowledge, and information
exchange (LKIE), (2) the Three Ways of Responsible AI, (3) an
empirically-driven risk-prioritization matrix, and (4) achieving the right
level of complexity. All components reinforce each other to move from
principles to practice in service of making Responsible AI the norm rather than
the exception.
",0
A Decentralized Approach towards Responsible AI in Social Ecosystems,Wenjing Chu,2021-02-12T06:33:42Z,Responsible AI,"  For AI technology to fulfill its full promises, we must have effective means
to ensure Responsible AI behavior and curtail potential irresponsible use,
e.g., in areas of privacy protection, human autonomy, robustness, and
prevention of biases and discrimination in automated decision making. Recent
literature in the field has identified serious shortcomings of narrow
technology focused and formalism-oriented research and has proposed an
interdisciplinary approach that brings the social context into the scope of
study. In this paper, we take a sociotechnical approach to propose a more
expansive framework of thinking about the Responsible AI challenges in both
technical and social context. Effective solutions need to bridge the gap
between a technical system with the social system that it will be deployed to.
To this end, we propose human agency and regulation as main mechanisms of
intervention and propose a decentralized computational infrastructure, or a set
of public utilities, as the computational means to bridge this gap. A
decentralized infrastructure is uniquely suited for meeting this challenge and
enable technical solutions and social institutions in a mutually reinforcing
dynamic to achieve Responsible AI goals. Our approach is novel in its
sociotechnical approach and its aim in tackling the structural issues that
cannot be solved within the narrow confines of AI technical research. We then
explore possible features of the proposed infrastructure and discuss how it may
help solve example problems recently studied in the field.
",0
Responsible AI: Gender bias assessment in emotion recognition,"Artem Domnich, Gholamreza Anbarjafari",2021-03-21T17:00:21Z,Responsible AI,"  Rapid development of artificial intelligence (AI) systems amplify many
concerns in society. These AI algorithms inherit different biases from humans
due to mysterious operational flow and because of that it is becoming adverse
in usage. As a result, researchers have started to address the issue by
investigating deeper in the direction towards Responsible and Explainable AI.
Among variety of applications of AI, facial expression recognition might not be
the most important one, yet is considered as a valuable part of human-AI
interaction. Evolution of facial expression recognition from the feature based
methods to deep learning drastically improve quality of such algorithms. This
research work aims to study a gender bias in deep learning methods for facial
expression recognition by investigating six distinct neural networks, training
them, and further analysed on the presence of bias, according to the three
definition of fairness. The main outcomes show which models are gender biased,
which are not and how gender of subject affects its emotion recognition. More
biased neural networks show bigger accuracy gap in emotion recognition between
male and female test sets. Furthermore, this trend keeps for true positive and
false positive rates. In addition, due to the nature of the research, we can
observe which types of emotions are better classified for men and which for
women. Since the topic of biases in facial expression recognition is not well
studied, a spectrum of continuation of this research is truly extensive, and
may comprise detail analysis of state-of-the-art methods, as well as targeting
other biases.
",0
Measurement as governance in and for responsible AI,Abigail Z. Jacobs,2021-09-13T01:04:22Z,Responsible AI,"  Measurement of social phenomena is everywhere, unavoidably, in sociotechnical
systems. This is not (only) an academic point: Fairness-related harms emerge
when there is a mismatch in the measurement process between the thing we
purport to be measuring and the thing we actually measure. However, the
measurement process -- where social, cultural, and political values are
implicitly encoded in sociotechnical systems -- is almost always obscured.
Furthermore, this obscured process is where important governance decisions are
encoded: governance about which systems are fair, which individuals belong in
which categories, and so on. We can then use the language of measurement, and
the tools of construct validity and reliability, to uncover hidden governance
decisions. In particular, we highlight two types of construct validity, content
validity and consequential validity, that are useful to elicit and characterize
the feedback loops between the measurement, social construction, and
enforcement of social categories. We then explore the constructs of fairness,
robustness, and responsibility in the context of governance in and for
responsible AI. Together, these perspectives help us unpack how measurement
acts as a hidden governance process in sociotechnical systems. Understanding
measurement as governance supports a richer understanding of the governance
processes already happening in AI -- responsible or otherwise -- revealing
paths to more effective interventions.
",13
"Towards a Responsible AI Development Lifecycle: Lessons From Information
  Security",Erick Galinkin,2022-03-06T13:03:58Z,Responsible AI,"  Legislation and public sentiment throughout the world have promoted fairness
metrics, explainability, and interpretability as prescriptions for the
responsible development of ethical artificial intelligence systems. Despite the
importance of these three pillars in the foundation of the field, they can be
challenging to operationalize and attempts to solve the problems in production
environments often feel Sisyphean. This difficulty stems from a number of
factors: fairness metrics are computationally difficult to incorporate into
training and rarely alleviate all of the harms perpetrated by these systems.
Interpretability and explainability can be gamed to appear fair, may
inadvertently reduce the privacy of personal information contained in training
data, and increase user confidence in predictions -- even when the explanations
are wrong. In this work, we propose a framework for responsibly developing
artificial intelligence systems by incorporating lessons from the field of
information security and the secure development lifecycle to overcome
challenges associated with protecting users in adversarial settings. In
particular, we propose leveraging the concepts of threat modeling, design
review, penetration testing, and incident response in the context of developing
AI systems as ways to resolve shortcomings in the aforementioned methods.
",0
Towards a Roadmap on Software Engineering for Responsible AI,"Qinghua Lu, Liming Zhu, Xiwei Xu, Jon Whittle, Zhenchang Xing",2022-03-09T07:01:32Z,Responsible AI,"  Although AI is transforming the world, there are serious concerns about its
ability to behave and make decisions responsibly. Many ethical regulations,
principles, and frameworks for responsible AI have been issued recently.
However, they are high level and difficult to put into practice. On the other
hand, most AI researchers focus on algorithmic solutions, while the responsible
AI challenges actually crosscut the entire engineering lifecycle and components
of AI systems. To close the gap in operationalizing responsible AI, this paper
aims to develop a roadmap on software engineering for responsible AI. The
roadmap focuses on (i) establishing multi-level governance for responsible AI
systems, (ii) setting up the development processes incorporating
process-oriented practices for responsible AI systems, and (iii) building
responsible-AI-by-design into AI systems through system-level architectural
style, patterns and techniques.
",0
"Data Cards: Purposeful and Transparent Dataset Documentation for
  Responsible AI","Mahima Pushkarna, Andrew Zaldivar, Oddur Kjartansson",2022-04-03T13:49:36Z,Responsible AI,"  As research and industry moves towards large-scale models capable of numerous
downstream tasks, the complexity of understanding multi-modal datasets that
give nuance to models rapidly increases. A clear and thorough understanding of
a dataset's origins, development, intent, ethical considerations and evolution
becomes a necessary step for the responsible and informed deployment of models,
especially those in people-facing contexts and high-risk domains. However, the
burden of this understanding often falls on the intelligibility, conciseness,
and comprehensiveness of the documentation. It requires consistency and
comparability across the documentation of all datasets involved, and as such
documentation must be treated as a user-centric product in and of itself. In
this paper, we propose Data Cards for fostering transparent, purposeful and
human-centered documentation of datasets within the practical contexts of
industry and research. Data Cards are structured summaries of essential facts
about various aspects of ML datasets needed by stakeholders across a dataset's
lifecycle for responsible AI development. These summaries provide explanations
of processes and rationales that shape the data and consequently the models,
such as upstream sources, data collection and annotation methods; training and
evaluation methods, intended use; or decisions affecting model performance. We
also present frameworks that ground Data Cards in real-world utility and
human-centricity. Using two case studies, we report on desirable
characteristics that support adoption across domains, organizational
structures, and audience groups. Finally, we present lessons learned from
deploying over 20 Data Cards.
",0
How Different Groups Prioritize Ethical Values for Responsible AI,"Maurice Jakesch, Zana Buçinca, Saleema Amershi, Alexandra Olteanu",2022-05-16T14:39:37Z,Responsible AI,"  Private companies, public sector organizations, and academic groups have
outlined ethical values they consider important for responsible artificial
intelligence technologies. While their recommendations converge on a set of
central values, little is known about the values a more representative public
would find important for the AI technologies they interact with and might be
affected by. We conducted a survey examining how individuals perceive and
prioritize responsible AI values across three groups: a representative sample
of the US population (N=743), a sample of crowdworkers (N=755), and a sample of
AI practitioners (N=175). Our results empirically confirm a common concern: AI
practitioners' value priorities differ from those of the general public.
Compared to the US-representative sample, AI practitioners appear to consider
responsible AI values as less important and emphasize a different set of
values. In contrast, self-identified women and black respondents found
responsible AI values more important than other groups. Surprisingly, more
liberal-leaning participants, rather than participants reporting experiences
with discrimination, were more likely to prioritize fairness than other groups.
Our findings highlight the importance of paying attention to who gets to define
responsible AI.
",0
Roadmap Towards Responsible AI in Crisis Resilience Management,"Cheng-Chun Lee, Tina Comes, Megan Finn, Ali Mostafavi",2022-07-20T04:39:29Z,Responsible AI,"  Novel data sensing and AI technologies are finding practical use in the
analysis of crisis resilience, revealing the need to consider how responsible
artificial intelligence (AI) practices can mitigate harmful outcomes and
protect vulnerable populations. In this paper, we present a responsible AI
roadmap that is embedded in the Crisis Information Management Circle. This
roadmap includes six propositions to highlight and address important challenges
and considerations specifically related to responsible AI for crisis resilience
management. We cover a wide spectrum of interwoven challenges and
considerations pertaining to the responsible collection, analysis, sharing, and
use of information such as equity, fairness, biases, explainability and
transparency, accountability, privacy and security, inter-organizational
coordination, and public engagement. Through examining issues around AI systems
for crisis resilience management, we dissect the inherent complexities of
information management and decision-making in crises and highlight the urgency
of responsible AI research and practice. The ideas laid out in this paper are
the first attempt in establishing a roadmap for researchers, practitioners,
developers, emergency managers, humanitarian organizations, and public
officials to address important considerations for responsible AI pertaining to
crisis resilience management.
",0
A Human Rights-Based Approach to Responsible AI,"Vinodkumar Prabhakaran, Margaret Mitchell, Timnit Gebru, Iason Gabriel",2022-10-06T04:07:53Z,Responsible AI,"  Research on fairness, accountability, transparency and ethics of AI-based
interventions in society has gained much-needed momentum in recent years.
However it lacks an explicit alignment with a set of normative values and
principles that guide this research and interventions. Rather, an implicit
consensus is often assumed to hold for the values we impart into our models -
something that is at odds with the pluralistic world we live in. In this paper,
we put forth the doctrine of universal human rights as a set of globally
salient and cross-culturally recognized set of values that can serve as a
grounding framework for explicit value alignment in responsible AI - and
discuss its efficacy as a framework for civil society partnership and
participation. We argue that a human rights framework orients the research in
this space away from the machines and the risks of their biases, and towards
humans and the risks to their rights, essentially helping to center the
conversation around who is harmed, what harms they face, and how those harms
may be mitigated.
",0
"Implementing Responsible AI: Tensions and Trade-Offs Between Ethics
  Aspects","Conrad Sanderson, David Douglas, Qinghua Lu",2023-04-17T13:43:13Z,Responsible AI,"  Many sets of ethics principles for responsible AI have been proposed to allay
concerns about misuse and abuse of AI/ML systems. The underlying aspects of
such sets of principles include privacy, accuracy, fairness, robustness,
explainability, and transparency. However, there are potential tensions between
these aspects that pose difficulties for AI/ML developers seeking to follow
these principles. For example, increasing the accuracy of an AI/ML system may
reduce its explainability. As part of the ongoing effort to operationalise the
principles into practice, in this work we compile and discuss a catalogue of 10
notable tensions, trade-offs and other interactions between the underlying
aspects. We primarily focus on two-sided interactions, drawing on support
spread across a diverse literature. This catalogue can be helpful in raising
awareness of the possible interactions between aspects of ethics principles, as
well as facilitating well-supported judgements by the designers and developers
of AI/ML systems.
",6
"Collect, Measure, Repeat: Reliability Factors for Responsible AI Data
  Collection","Oana Inel, Tim Draws, Lora Aroyo",2023-08-22T18:01:27Z,Responsible AI,"  The rapid entry of machine learning approaches in our daily activities and
high-stakes domains demands transparency and scrutiny of their fairness and
reliability. To help gauge machine learning models' robustness, research
typically focuses on the massive datasets used for their deployment, e.g.,
creating and maintaining documentation for understanding their origin, process
of development, and ethical considerations. However, data collection for AI is
still typically a one-off practice, and oftentimes datasets collected for a
certain purpose or application are reused for a different problem.
Additionally, dataset annotations may not be representative over time, contain
ambiguous or erroneous annotations, or be unable to generalize across issues or
domains. Recent research has shown these practices might lead to unfair,
biased, or inaccurate outcomes. We argue that data collection for AI should be
performed in a responsible manner where the quality of the data is thoroughly
scrutinized and measured through a systematic set of appropriate metrics. In
this paper, we propose a Responsible AI (RAI) methodology designed to guide the
data collection with a set of metrics for an iterative in-depth analysis of the
factors influencing the quality and reliability} of the generated data. We
propose a granular set of measurements to inform on the internal reliability of
a dataset and its external stability over time. We validate our approach across
nine existing datasets and annotation tasks and four content modalities. This
approach impacts the assessment of data robustness used for AI applied in the
real world, where diversity of users and content is eminent. Furthermore, it
deals with fairness and accountability aspects in data collection by providing
systematic and transparent quality analysis for data collections.
",0
RAI4IoE: Responsible AI for Enabling the Internet of Energy,"Minhui Xue, Surya Nepal, Ling Liu, Subbu Sethuvenkatraman, Xingliang Yuan, Carsten Rudolph, Ruoxi Sun, Greg Eisenhauer",2023-09-20T23:45:54Z,Responsible AI,"  This paper plans to develop an Equitable and Responsible AI framework with
enabling techniques and algorithms for the Internet of Energy (IoE), in short,
RAI4IoE. The energy sector is going through substantial changes fueled by two
key drivers: building a zero-carbon energy sector and the digital
transformation of the energy infrastructure. We expect to see the convergence
of these two drivers resulting in the IoE, where renewable distributed energy
resources (DERs), such as electric cars, storage batteries, wind turbines and
photovoltaics (PV), can be connected and integrated for reliable energy
distribution by leveraging advanced 5G-6G networks and AI technology. This
allows DER owners as prosumers to participate in the energy market and derive
economic incentives. DERs are inherently asset-driven and face equitable
challenges (i.e., fair, diverse and inclusive). Without equitable access,
privileged individuals, groups and organizations can participate and benefit at
the cost of disadvantaged groups. The real-time management of DER resources not
only brings out the equity problem to the IoE, it also collects highly
sensitive location, time, activity dependent data, which requires to be handled
responsibly (e.g., privacy, security and safety), for AI-enhanced predictions,
optimization and prioritization services, and automated management of flexible
resources. The vision of our project is to ensure equitable participation of
the community members and responsible use of their data in IoE so that it could
reap the benefits of advances in AI to provide safe, reliable and sustainable
energy services.
",4
Steering Responsible AI: A Case for Algorithmic Pluralism,Stefaan G. Verhulst,2023-11-20T18:45:04Z,Responsible AI,"  In this paper, I examine questions surrounding AI neutrality through the
prism of existing literature and scholarship about mediation and media
pluralism. Such traditions, I argue, provide a valuable theoretical framework
for how we should approach the (likely) impending era of AI mediation. In
particular, I suggest examining further the notion of algorithmic pluralism.
Contrasting this notion to the dominant idea of algorithmic transparency, I
seek to describe what algorithmic pluralism may be, and present both its
opportunities and challenges. Implemented thoughtfully and responsibly, I
argue, Algorithmic or AI pluralism has the potential to sustain the diversity,
multiplicity, and inclusiveness that are so vital to democracy.
",0
Investigating Responsible AI for Scientific Research: An Empirical Study,"Muneera Bano, Didar Zowghi, Pip Shea, Georgina Ibarra",2023-12-15T06:40:27Z,Responsible AI,"  Scientific research organizations that are developing and deploying
Artificial Intelligence (AI) systems are at the intersection of technological
progress and ethical considerations. The push for Responsible AI (RAI) in such
institutions underscores the increasing emphasis on integrating ethical
considerations within AI design and development, championing core values like
fairness, accountability, and transparency. For scientific research
organizations, prioritizing these practices is paramount not just for
mitigating biases and ensuring inclusivity, but also for fostering trust in AI
systems among both users and broader stakeholders. In this paper, we explore
the practices at a research organization concerning RAI practices, aiming to
assess the awareness and preparedness regarding the ethical risks inherent in
AI design and development. We have adopted a mixed-method research approach,
utilising a comprehensive survey combined with follow-up in-depth interviews
with selected participants from AI-related projects. Our results have revealed
certain knowledge gaps concerning ethical, responsible, and inclusive AI, with
limitations in awareness of the available AI ethics frameworks. This revealed
an overarching underestimation of the ethical risks that AI technologies can
present, especially when implemented without proper guidelines and governance.
Our findings reveal the need for a holistic and multi-tiered strategy to uplift
capabilities and better support science research teams for responsible,
ethical, and inclusive AI development and deployment.
",0
"Toward Responsible AI Use: Considerations for Sustainability Impact
  Assessment","Eva Thelisson, Grzegorz Mika, Quentin Schneiter, Kirtan Padh, Himanshu Verma",2023-12-19T09:38:56Z,Responsible AI,"  As AI/ML models, including Large Language Models, continue to scale with
massive datasets, so does their consumption of undeniably limited natural
resources, and impact on society. In this collaboration between AI,
Sustainability, HCI and legal researchers, we aim to enable a transition to
sustainable AI development by enabling stakeholders across the AI value chain
to assess and quantitfy the environmental and societal impact of AI. We present
the ESG Digital and Green Index (DGI), which offers a dashboard for assessing a
company's performance in achieving sustainability targets. This includes
monitoring the efficiency and sustainable use of limited natural resources
related to AI technologies (water, electricity, etc). It also addresses the
societal and governance challenges related to AI. The DGI creates incentives
for companies to align their pathway with the Sustainable Development Goals
(SDGs). The value, challenges and limitations of our methodology and findings
are discussed in the paper.
",0
Resolving Ethics Trade-offs in Implementing Responsible AI,"Conrad Sanderson, Emma Schleiger, David Douglas, Petra Kuhnert, Qinghua Lu",2024-01-16T04:14:23Z,Responsible AI,"  While the operationalisation of high-level AI ethics principles into
practical AI/ML systems has made progress, there is still a theory-practice gap
in managing tensions between the underlying AI ethics aspects. We cover five
approaches for addressing the tensions via trade-offs, ranging from rudimentary
to complex. The approaches differ in the types of considered context, scope,
methods for measuring contexts, and degree of justification. None of the
approaches is likely to be appropriate for all organisations, systems, or
applications. To address this, we propose a framework which consists of: (i)
proactive identification of tensions, (ii) prioritisation and weighting of
ethics aspects, (iii) justification and documentation of trade-off decisions.
The proposed framework aims to facilitate the implementation of well-rounded
AI/ML systems that are appropriate for potential regulatory requirements.
",0
"Farsight: Fostering Responsible AI Awareness During AI Application
  Prototyping","Zijie J. Wang, Chinmay Kulkarni, Lauren Wilcox, Michael Terry, Michael Madaio",2024-02-23T14:38:05Z,Responsible AI,"  Prompt-based interfaces for Large Language Models (LLMs) have made
prototyping and building AI-powered applications easier than ever before.
However, identifying potential harms that may arise from AI applications
remains a challenge, particularly during prompt-based prototyping. To address
this, we present Farsight, a novel in situ interactive tool that helps people
identify potential harms from the AI applications they are prototyping. Based
on a user's prompt, Farsight highlights news articles about relevant AI
incidents and allows users to explore and edit LLM-generated use cases,
stakeholders, and harms. We report design insights from a co-design study with
10 AI prototypers and findings from a user study with 42 AI prototypers. After
using Farsight, AI prototypers in our user study are better able to
independently identify potential harms associated with a prompt and find our
tool more useful and usable than existing resources. Their qualitative feedback
also highlights that Farsight encourages them to focus on end-users and think
beyond immediate harms. We discuss these findings and reflect on their
implications for designing AI prototyping experiences that meaningfully engage
with AI harms. Farsight is publicly accessible at:
https://PAIR-code.github.io/farsight.
",0
"Guidelines for Integrating Value Sensitive Design in Responsible AI
  Toolkits","Malak Sadek, Marios Constantinides, Daniele Quercia, Céline Mougenot",2024-02-29T21:49:38Z,Responsible AI,"  Value Sensitive Design (VSD) is a framework for integrating human values
throughout the technology design process. In parallel, Responsible AI (RAI)
advocates for the development of systems aligning with ethical values, such as
fairness and transparency. In this study, we posit that a VSD approach is not
only compatible, but also advantageous to the development of RAI toolkits. To
empirically assess this hypothesis, we conducted four workshops involving 17
early-career AI researchers. Our aim was to establish links between VSD and RAI
values while examining how existing toolkits incorporate VSD principles in
their design. Our findings show that collaborative and educational design
features within these toolkits, including illustrative examples and open-ended
cues, facilitate an understanding of human and ethical values, and empower
researchers to incorporate values into AI systems. Drawing on these insights,
we formulated six design guidelines for integrating VSD values into the
development of RAI toolkits.
",3
Evolving Reinforcement Learning Algorithms,"John D. Co-Reyes, Yingjie Miao, Daiyi Peng, Esteban Real, Sergey Levine, Quoc V. Le, Honglak Lee, Aleksandra Faust",2021-01-08T18:55:07Z,Reinforcement Learning,"  We propose a method for meta-learning reinforcement learning algorithms by
searching over the space of computational graphs which compute the loss
function for a value-based model-free RL agent to optimize. The learned
algorithms are domain-agnostic and can generalize to new environments not seen
during training. Our method can both learn from scratch and bootstrap off known
existing algorithms, like DQN, enabling interpretable modifications which
improve performance. Learning from scratch on simple classical control and
gridworld tasks, our method rediscovers the temporal-difference (TD) algorithm.
Bootstrapped from DQN, we highlight two learned algorithms which obtain good
generalization performance over other classical control tasks, gridworld type
tasks, and Atari games. The analysis of the learned algorithm behavior shows
resemblance to recently proposed RL algorithms that address overestimation in
value-based methods.
",0
Domain Adversarial Reinforcement Learning,"Bonnie Li, Vincent François-Lavet, Thang Doan, Joelle Pineau",2021-02-14T07:58:41Z,Reinforcement Learning,"  We consider the problem of generalization in reinforcement learning where
visual aspects of the observations might differ, e.g. when there are different
backgrounds or change in contrast, brightness, etc. We assume that our agent
has access to only a few of the MDPs from the MDP distribution during training.
The performance of the agent is then reported on new unknown test domains drawn
from the distribution (e.g. unseen backgrounds). For this ""zero-shot RL"" task,
we enforce invariance of the learned representations to visual domains via a
domain adversarial optimization process. We empirically show that this approach
allows achieving a significant generalization improvement to new unseen
domains.
",21
Safe Distributional Reinforcement Learning,"Jianyi Zhang, Paul Weng",2021-02-26T13:03:27Z,Reinforcement Learning,"  Safety in reinforcement learning (RL) is a key property in both training and
execution in many domains such as autonomous driving or finance. In this paper,
we formalize it with a constrained RL formulation in the distributional RL
setting. Our general model accepts various definitions of safety(e.g., bounds
on expected performance, CVaR, variance, or probability of reaching bad
states). To ensure safety during learning, we extend a safe policy optimization
method to solve our problem. The distributional RL perspective leads to a more
efficient algorithm while additionally catering for natural safe constraints.
We empirically validate our propositions on artificial and real domains against
appropriate state-of-the-art safe RL algorithms.
",0
Reinforcement Learning Beyond Expectation,"Bhaskar Ramasubramanian, Luyao Niu, Andrew Clark, Radha Poovendran",2021-03-29T20:35:25Z,Reinforcement Learning,"  The inputs and preferences of human users are important considerations in
situations where these users interact with autonomous cyber or cyber-physical
systems. In these scenarios, one is often interested in aligning behaviors of
the system with the preferences of one or more human users. Cumulative prospect
theory (CPT) is a paradigm that has been empirically shown to model a tendency
of humans to view gains and losses differently. In this paper, we consider a
setting where an autonomous agent has to learn behaviors in an unknown
environment. In traditional reinforcement learning, these behaviors are learned
through repeated interactions with the environment by optimizing an expected
utility. In order to endow the agent with the ability to closely mimic the
behavior of human users, we optimize a CPT-based cost. We introduce the notion
of the CPT-value of an action taken in a state, and establish the convergence
of an iterative dynamic programming-based approach to estimate this quantity.
We develop two algorithms to enable agents to learn policies to optimize the
CPT-vale, and evaluate these algorithms in environments where a target state
has to be reached while avoiding obstacles. We demonstrate that behaviors of
the agent learned using these algorithms are better aligned with that of a
human user who might be placed in the same environment, and is significantly
improved over a baseline that optimizes an expected utility.
",1
Heuristic-Guided Reinforcement Learning,"Ching-An Cheng, Andrey Kolobov, Adith Swaminathan",2021-06-05T00:04:09Z,Reinforcement Learning,"  We provide a framework for accelerating reinforcement learning (RL)
algorithms by heuristics constructed from domain knowledge or offline data.
Tabula rasa RL algorithms require environment interactions or computation that
scales with the horizon of the sequential decision-making task. Using our
framework, we show how heuristic-guided RL induces a much shorter-horizon
subproblem that provably solves the original task. Our framework can be viewed
as a horizon-based regularization for controlling bias and variance in RL under
a finite interaction budget. On the theoretical side, we characterize
properties of a good heuristic and its impact on RL acceleration. In
particular, we introduce the novel concept of an improvable heuristic, a
heuristic that allows an RL agent to extrapolate beyond its prior knowledge. On
the empirical side, we instantiate our framework to accelerate several
state-of-the-art algorithms in simulated robotic control tasks and procedurally
generated games. Our framework complements the rich literature on warm-starting
RL with expert demonstrations or exploratory datasets, and introduces a
principled method for injecting prior knowledge into RL.
",0
Offline Inverse Reinforcement Learning,"Firas Jarboui, Vianney Perchet",2021-06-09T13:44:06Z,Reinforcement Learning,"  The objective of offline RL is to learn optimal policies when a fixed
exploratory demonstrations data-set is available and sampling additional
observations is impossible (typically if this operation is either costly or
rises ethical questions). In order to solve this problem, off the shelf
approaches require a properly defined cost function (or its evaluation on the
provided data-set), which are seldom available in practice. To circumvent this
issue, a reasonable alternative is to query an expert for few optimal
demonstrations in addition to the exploratory data-set. The objective is then
to learn an optimal policy w.r.t. the expert's latent cost function. Current
solutions either solve a behaviour cloning problem (which does not leverage the
exploratory data) or a reinforced imitation learning problem (using a fixed
cost function that discriminates available exploratory trajectories from expert
ones). Inspired by the success of IRL techniques in achieving state of the art
imitation performances in online settings, we exploit GAN based data
augmentation procedures to construct the first offline IRL algorithm. The
obtained policies outperformed the aforementioned solutions on multiple OpenAI
gym environments.
",17
Density Constrained Reinforcement Learning,"Zengyi Qin, Yuxiao Chen, Chuchu Fan",2021-06-24T04:22:03Z,Reinforcement Learning,"  We study constrained reinforcement learning (CRL) from a novel perspective by
setting constraints directly on state density functions, rather than the value
functions considered by previous works. State density has a clear physical and
mathematical interpretation, and is able to express a wide variety of
constraints such as resource limits and safety requirements. Density
constraints can also avoid the time-consuming process of designing and tuning
cost functions required by value function-based constraints to encode system
specifications. We leverage the duality between density functions and Q
functions to develop an effective algorithm to solve the density constrained RL
problem optimally and the constrains are guaranteed to be satisfied. We prove
that the proposed algorithm converges to a near-optimal solution with a bounded
error even when the policy update is imperfect. We use a set of comprehensive
experiments to demonstrate the advantages of our approach over state-of-the-art
CRL methods, with a wide range of density constrained tasks as well as standard
CRL benchmarks such as Safety-Gym.
",32
Temporal Shift Reinforcement Learning,"Deepak George Thomas, Tichakorn Wongpiromsarn, Ali Jannesari",2021-09-05T18:47:13Z,Reinforcement Learning,"  The function approximators employed by traditional image-based Deep
Reinforcement Learning (DRL) algorithms usually lack a temporal learning
component and instead focus on learning the spatial component. We propose a
technique, Temporal Shift Reinforcement Learning (TSRL), wherein both temporal,
as well as spatial components are jointly learned. Moreover, TSRL does not
require additional parameters to perform temporal learning. We show that TSRL
outperforms the commonly used frame stacking heuristic on both of the Atari
environments we test on while beating the SOTA for one of them. This
investigation has implications in the robotics as well as sequential
decision-making domains.
",0
Wasserstein Unsupervised Reinforcement Learning,"Shuncheng He, Yuhang Jiang, Hongchang Zhang, Jianzhun Shao, Xiangyang Ji",2021-10-15T08:41:51Z,Reinforcement Learning,"  Unsupervised reinforcement learning aims to train agents to learn a handful
of policies or skills in environments without external reward. These
pre-trained policies can accelerate learning when endowed with external reward,
and can also be used as primitive options in hierarchical reinforcement
learning. Conventional approaches of unsupervised skill discovery feed a latent
variable to the agent and shed its empowerment on agent's behavior by mutual
information (MI) maximization. However, the policies learned by MI-based
methods cannot sufficiently explore the state space, despite they can be
successfully identified from each other. Therefore we propose a new framework
Wasserstein unsupervised reinforcement learning (WURL) where we directly
maximize the distance of state distributions induced by different policies.
Additionally, we overcome difficulties in simultaneously training N(N >2)
policies, and amortizing the overall reward to each step. Experiments show
policies learned by our approach outperform MI-based methods on the metric of
Wasserstein distance while keeping high discriminability. Furthermore, the
agents trained by WURL can sufficiently explore the state space in mazes and
MuJoCo tasks and the pre-trained policies can be applied to downstream tasks by
hierarchical learning.
",0
Godot Reinforcement Learning Agents,"Edward Beeching, Jilles Debangoye, Olivier Simonin, Christian Wolf",2021-12-07T11:24:34Z,Reinforcement Learning,"  We present Godot Reinforcement Learning (RL) Agents, an open-source interface
for developing environments and agents in the Godot Game Engine. The Godot RL
Agents interface allows the design, creation and learning of agent behaviors in
challenging 2D and 3D environments with various on-policy and off-policy Deep
RL algorithms. We provide a standard Gym interface, with wrappers for learning
in the Ray RLlib and Stable Baselines RL frameworks. This allows users access
to over 20 state of the art on-policy, off-policy and multi-agent RL
algorithms. The framework is a versatile tool that allows researchers and game
designers the ability to create environments with discrete, continuous and
mixed action spaces. The interface is relatively performant, with 12k
interactions per second on a high end laptop computer, when parallized on 4 CPU
cores. An overview video is available here: https://youtu.be/g1MlZSFqIj4
",0
Reinforcement Learning Textbook,Sergey Ivanov,2022-01-19T15:54:39Z,Reinforcement Learning,"  This textbook covers principles behind main modern deep reinforcement
learning algorithms that achieved breakthrough results in many domains from
game AI to robotics. All required theory is explained with proofs using unified
notation and emphasize on the differences between different types of algorithms
and the reasons why they are constructed the way they are.
",5
Group-Agent Reinforcement Learning,"Kaiyue Wu, Xiao-Jun Zeng",2022-02-10T16:40:59Z,Reinforcement Learning,"  It can largely benefit the reinforcement learning (RL) process of each agent
if multiple geographically distributed agents perform their separate RL tasks
cooperatively. Different from multi-agent reinforcement learning (MARL) where
multiple agents are in a common environment and should learn to cooperate or
compete with each other, in this case each agent has its separate environment
and only communicates with others to share knowledge without any cooperative or
competitive behaviour as a learning outcome. In fact, this scenario exists
widely in real life whose concept can be utilised in many applications, but is
not well understood yet and not well formulated. As the first effort, we
propose group-agent system for RL as a formulation of this scenario and the
third type of RL system with respect to single-agent and multi-agent systems.
We then propose a distributed RL framework called DDAL (Decentralised
Distributed Asynchronous Learning) designed for group-agent reinforcement
learning (GARL). We show through experiments that DDAL achieved desirable
performance with very stable training and has good scalability.
",0
