用户名,计算,用户名,阅读,用户名,记忆1,用户名,记忆2,用户名,分类,用户名,听力,用户名,舒尔特,用户名,反向眼跳
62231003,0.733333333,62231007,0.8,62231014,1,62231008,0.4,62231001,0.833333333,62230943,0.866666667,62231007,0.990384615,62231021,1
62231005,1,62231008,1,62231015,0.6,62231009,1,62231002,0.5,62230944,0.733333333,62231008,0.990384615,62231022,1
62231006,0.785714286,62231009,0.6,62231016,0.7,62231010,0.8,62231003,0.833333333,62231001,0.733333333,62231009,0.990384615,62231023,0.92
62231007,0.714285714,62231010,0.6,62231017,0.6,62231012,1,62231006,0.666666667,62231002,0.666666667,62231010,0.990384615,62231024,0.86
62231008,0.785714286,62231012,1,62231018,1,62231013,0.8,62231007,0.666666667,62231003,0.6,62231012,1,62231026,0.98
62231009,1,62231013,0.6,62231019,0.6,62231014,1,62231008,0.833333333,62231005,0.7,62231013,0.971866097,62231027,0.98
62231010,0.714285714,62231014,0.4,62231020,0.7,62231015,1,62231009,0.833333333,62231006,0.4,62231014,1,62231028,0.9
62231012,1,62231015,1,62231021,0.7,62231016,1,62231010,0.5,62231007,0.733333333,62231015,0.990384615,62231029,0.5
62231013,0.818181818,62231016,0.4,62231022,1,62231017,1,62231012,0.833333333,62231008,0.733333333,62231016,1,62231030,0.98
62231014,0.764705882,62231017,0.4,62231023,1,62231018,0.4,62231013,0.833333333,62231009,0.866666667,62231017,1,62231031,0.5
62231015,0.916666667,62231018,0.6,62231024,0.8,62231019,0.8,62231014,0.833333333,62231010,0.6,62231018,0.981481481,62231032,0.98
62231016,1,62231019,0.4,62231026,0.8,62231020,1,62231015,0.5,62231012,0.6,62231019,1,62231033,1
62231017,0.8,62231020,1,62231027,0.8,62231021,0.6,62231016,0.5,62231013,0.8,62231020,0.02248062,62231035,0.98
62231018,0.727272727,62231021,1,62231028,0.5,62231022,1,62231017,0,62231014,0.8,62231021,1,62231036,1
62231019,1,62231022,0.8,62231030,1,62231023,0.6,62231018,0.666666667,62231015,0.866666667,62231022,1,62231037,0.94
62231020,0.857142857,62231023,0.4,62231031,0.6,62231024,0.6,62231019,0.333333333,62231016,0.533333333,62231023,1,62231038,0.94
62231021,1,62231024,0.6,62231032,1,62231026,1,62231020,0.666666667,62231017,0.733333333,62231024,1,62231039,0.92
62231022,0.75,62231026,0.2,62231033,0.9,62231027,1,62231021,0.333333333,62231018,0.8,62231025,0.037651515,62231041,0.9
62231023,0.8,62231027,0.8,62231035,0.5,62231028,0.8,62231022,0.166666667,62231019,0.8,62231026,0.990384615,62231043,0.98
62231024,0.769230769,62231028,0.6,62231036,0.5,62231029,0.4,62231023,0.5,62231020,0.6,62231027,0.948717949,62231044,0.92
62231026,0.631578947,62231029,0.2,62231037,0.8,62231030,0.4,62231024,0.833333333,62231021,0.733333333,62231028,0.981481481,62231045,1
62231027,0.785714286,62231030,0.6,62231038,0.9,62231031,0.6,62231025,0,62231022,0.6,62231029,0,62231046,0.86
62231028,0.833333333,62231031,0.6,62231040,0.6,62231032,0.8,62231026,0.5,62231023,0.733333333,62231030,1,62231047,0.58
62231029,0.444444444,62231032,0.8,62231041,0.8,62231033,1,62231027,0.5,62231024,0.866666667,62231031,0.980769231,62231101,1
62231030,0.65,62231033,0.2,62231043,0.9,62231034,0.4,62231028,0.333333333,62231025,0.266666667,62231032,1,62231102,1
62231031,0.714285714,62231034,0.2,62231044,1,62231035,1,62231029,0.333333333,62231026,0.8,62231033,0.829936854,62231103,0.5
62231032,0.777777778,62231035,0.8,62231045,0.8,62231036,0.8,62231030,0.5,62231027,0.466666667,62231035,1,62231105,0.9
62231033,0.833333333,62231036,1,62231046,0.6,62231037,1,62231031,0.333333333,62231028,0.666666667,62231036,1,62231106,0.76
62231035,0.923076923,62231037,0.4,62231101,1,62231038,0.2,62231032,0,62231029,0.666666667,62231037,0.981481481,62231107,0.96
62231036,0.846153846,62231038,0.4,62231102,0.8,62231039,0.2,62231033,0.666666667,62231030,0.6,62231038,0.990384615,62231110,0.94
62231037,0.733333333,62231039,0.8,62231103,0.8,62231040,0.8,62231034,0,62231031,0.666666667,62231039,0.941997519,62231111,0.92
62231038,0.25,62231040,1,62231105,0.6,62231041,0.6,62231035,0.333333333,62231032,0.933333333,62231040,0.975,62231112,0.98
62231039,0.615384615,62231041,1,62231106,0.5,62231042,0.2,62231036,0.833333333,62231033,0.8,62231041,1,62231113,0.98
62231040,0.7,62231042,0.8,62231107,0.9,62231043,1,62231037,0.666666667,62231034,0.733333333,62231042,1,62231114,0.82
62231041,0.875,62231043,0.8,62231108,1,62231044,0.6,62231038,0.666666667,62231035,0.933333333,62231043,1,62231116,0.94
62231043,0.846153846,62231044,0.8,62231110,0.7,62231045,0.6,62231039,0.833333333,62231036,0.666666667,62231044,1,62231117,0.98
62231044,0.714285714,62231045,1,62231111,1,62231046,0.8,62231040,0.833333333,62231037,0.733333333,62231045,0.990384615,62231118,0.96
62231045,0.933333333,62231046,1,62231112,0.9,62231047,0.6,62231041,0.5,62231038,0.8,62231046,1,62231119,0.96
62231046,0.727272727,62231047,0.4,62231113,0.9,62231101,1,62231042,0.5,62231039,0.733333333,62231047,0.990384615,62231120,0.94
62231101,1,62231101,0.4,62231114,1,62231102,1,62231043,0.5,62231040,0.8,62231101,1,62231121,1
62231102,1,62231102,0.2,62231116,1,62231103,1,62231044,0.666666667,62231041,0.8,62231102,1,62231122,0.98
62231103,0.909090909,62231103,1,62231117,1,62231105,1,62231045,0.5,62231042,0.6,62231103,0.981481481,62231123,0.88
62231106,0.909090909,62231105,1,62231118,0.7,62231106,0.8,62231046,0.333333333,62231043,0.866666667,62231105,1,62231124,1
62231107,0.933333333,62231106,0.6,62231119,0.7,62231107,1,62231047,0.166666667,62231044,0.6,62231106,1,62231125,1
62231108,0.866666667,62231107,0.6,62231120,1,62231108,0.8,62231101,0.833333333,62231045,0.866666667,62231107,1,62231126,1
62231110,1,62231108,0.8,62231121,0.7,62231110,1,62231102,0.5,62231046,0.666666667,62231108,0.990384615,62231127,0.9
62231111,0.923076923,62231110,0.8,62231122,1,62231111,1,62231103,0.166666667,62231047,0.533333333,62231110,0.990384615,62231128,0.98
62231112,1,62231111,1,62231123,1,62231112,1,62231105,0.666666667,62231101,0.533333333,62231111,0.971866097,62231129,0.98
62231113,0.583333333,62231112,0.6,62231124,0.7,62231113,1,62231106,0.5,62231102,0.733333333,62231112,1,62231130,0.92
62231114,0.65,62231113,1,62231125,0.8,62231114,1,62231107,0.5,62231103,0.6,62231113,1,62231131,1
62231116,0.916666667,62231114,0.8,62231126,0.9,62231116,1,62231108,0.666666667,62231105,0.733333333,62231114,1,62231132,0.9
62231117,0.785714286,62231116,0.4,62231127,0.7,62231117,0.8,62231110,0.666666667,62231106,0.866666667,62231116,1,62231133,0.94
62231118,0.666666667,62231117,0.8,62231128,1,62231118,0.8,62231111,0.666666667,62231107,0.666666667,62231117,0.973214286,62231134,0.98
62231119,0.75,62231118,0.4,62231129,1,62231119,0.6,62231112,0.666666667,62231108,0.466666667,62231118,0.990384615,62231135,0.98
62231120,0.833333333,62231119,1,62231130,0.8,62231120,0.8,62231113,0.333333333,62231110,0.6,62231119,1,62231136,0.98
62231121,1,62231120,0.8,62231131,0.9,62231121,1,62231114,1,62231111,0.666666667,62231120,1,62231137,0.92
62231122,0.769230769,62231121,0.4,62231132,0.9,62231122,0.6,62231116,0.333333333,62231112,0.666666667,62231121,0.990384615,62231138,0.94
62231123,0.56,62231122,1,62231133,1,62231123,0.6,62231117,0.5,62231113,0.8,62231122,0.990384615,62231139,1
62231124,1,62231123,0.8,62231134,0.7,62231124,1,62231118,0.666666667,62231114,0.666666667,62231123,0.990384615,62231140,0.86
62231125,0.6875,62231124,1,62231135,0.9,62231126,0.6,62231119,0.5,62231116,0.733333333,62231124,1,62231141,0.98
62231126,0.818181818,62231125,0.8,62231136,0.4,62231127,0.4,62231120,0.666666667,62231117,0.666666667,62231125,0.990384615,62231142,0.84
62231127,0.769230769,62231126,0.4,62231138,0.5,62231128,1,62231121,0.666666667,62231118,0.666666667,62231126,1,62231145,0.96
62231128,0.8,62231127,1,62231139,1,62231129,0.6,62231122,0.833333333,62231119,0.866666667,62231127,1,62231146,0.94
62231129,0.727272727,62231128,0.2,62231140,0.9,62231130,0.8,62231123,0.5,62231120,0.933333333,62231128,1,62231147,0.94
62231130,0.545454545,62231129,0.8,62231141,1,62231131,0.6,62231124,0.666666667,62231121,0.8,62231129,1,62231148,0.98
62231131,0.928571429,62231130,0.6,62231142,0.8,62231132,1,62231126,0.666666667,62231122,0.666666667,62231130,0.990384615,62231149,0.5
62231132,1,62231131,0.6,62231144,0.9,62231133,0.6,62231127,0.333333333,62231123,0.733333333,62231131,1,62231150,0.92
62231133,0.611111111,62231133,0.8,62231145,0.9,62231134,1,62231128,0.833333333,62231124,0.666666667,62231132,1,62231151,0.96
62231134,1,62231134,0.4,62231146,0.9,62231135,1,62231129,0.666666667,62231125,0.7,62231133,0.781171348,62231152,0.96
62231135,0.6,62231135,0.8,62231147,0.8,62231136,0.8,62231130,0.333333333,62231126,0.666666667,62231134,1,62231154,0.9
62231136,0.714285714,62231136,1,62231148,1,62231137,0.8,62231131,0.666666667,62231127,0.733333333,62231135,0.990384615,62231155,0.92
62231137,0.5,62231137,0.6,62231149,1,62231138,1,62231132,0.666666667,62231128,0.466666667,62231136,1,62231156,0.68
62231138,0.785714286,62231138,0.8,62231150,0.9,62231139,1,62231133,0.5,62231129,0.8,62231137,1,62231202,0.9
62231139,0.923076923,62231139,0.6,62231151,0.8,62231140,1,62231134,0.333333333,62231130,0.8,62231138,0.990384615,62231203,0.98
62231140,0.75,62231140,1,62231152,1,62231141,1,62231135,0.833333333,62231131,0.8,62231139,1,62231204,0.92
62231141,1,62231141,1,62231153,0.9,62231142,0.2,62231136,0.666666667,62231132,0.733333333,62231140,1,62231205,0.86
62231142,0.611111111,62231142,1,62231154,1,62231144,0.6,62231137,0.5,62231133,0.6,62231141,1,62231206,0.9
62231144,0.666666667,62231144,0.8,62231155,0.7,62231145,0.8,62231138,0.166666667,62231134,0.533333333,62231142,0.91005291,62231207,0.96
62231145,0.6,62231145,1,62231156,0.6,62231146,1,62231139,0.833333333,62231135,0.733333333,62231144,0.990384615,62231208,0.98
62231146,0.6875,62231146,0.6,62231157,0.8,62231147,1,62231140,0.333333333,62231136,0.666666667,62231145,1,62231210,0.92
62231147,0.625,62231147,0.8,62231201,1,62231148,1,62231141,0.666666667,62231137,0.8,62231146,1,62231211,0.86
62231148,0.916666667,62231148,0.8,62231203,1,62231149,1,62231142,0.5,62231138,0.6,62231147,0.971866097,62231212,0.96
62231149,0.777777778,62231149,1,62231204,1,62231150,1,62231144,0.333333333,62231139,0.733333333,62231148,0.990384615,62231213,0.98
62231150,0.777777778,62231150,0.6,62231205,0.6,62231151,1,62231145,0.833333333,62231140,1,62231149,1,62231214,0.98
62231151,0.846153846,62231151,1,62231206,0.6,62231152,1,62231146,0.5,62231141,0.666666667,62231150,0.965517241,62231215,0.94
62231152,0.933333333,62231152,1,62231207,1,62231153,0.4,62231147,0.833333333,62231142,0.8,62231151,0.939814815,62231218,0.98
62231153,0.666666667,62231153,0.8,62231208,0.6,62231154,0.8,62231148,0.666666667,62231144,0.666666667,62231152,1,62231219,1
62231154,0.8,62231154,0.8,62231210,0.4,62231155,1,62231149,0.666666667,62231145,0.4,62231153,0.990384615,62231221,1
62231155,0.923076923,62231155,0.6,62231211,0.9,62231156,0.8,62231150,0.833333333,62231146,0.866666667,62231154,1,62231222,1
62231156,0.647058824,62231156,1,62231212,1,62231157,0.6,62231151,0.833333333,62231147,0.866666667,62231155,1,62231223,0.96
62231157,0.75,62231157,0.6,62231213,0.7,62231201,1,62231152,0.833333333,62231148,0.733333333,62231156,0.977272727,62231225,0.92
62231201,1,62231201,1,62231214,0.9,62231202,1,62231153,0.833333333,62231149,0.8,62231157,0.990384615,62231226,0.96
62231202,0.923076923,62231202,0.8,62231215,1,62231204,1,62231154,0.666666667,62231150,0.6,62231201,1,62231227,0.96
62231204,0.833333333,62231203,0.7,62231216,1,62231205,0.6,62231155,0.333333333,62231151,0.6,62231202,0.981481481,62231229,0.82
62231205,1,62231204,1,62231217,0.6,62231206,1,62231156,0.5,62231152,0.866666667,62231203,0.985482655,62231230,0.78
62231206,0.733333333,62231205,0.8,62231219,0.7,62231207,1,62231157,0.666666667,62231153,0.533333333,62231204,0.990384615,62231231,1
62231207,1,62231206,0.8,62231221,0.6,62231208,1,62231201,0.5,62231154,0.666666667,62231205,0.981481481,62231232,0.5
62231208,0.923076923,62231207,0.8,62231222,0.9,62231210,1,62231202,0.833333333,62231155,0.8,62231206,1,62231234,0.98
62231210,0.916666667,62231208,0.4,62231223,0.8,62231211,1,62231204,0.5,62231156,0.866666667,62231207,1,62231235,0.86
62231211,0.818181818,62231210,0.4,62231224,0.8,62231212,0.4,62231205,0.5,62231157,0.733333333,62231208,1,62231236,0.94
62231212,0.8125,62231211,0.6,62231225,0.9,62231213,1,62231206,0.833333333,62231201,0.6,62231210,0.973214286,62231237,0.96
62231213,0.909090909,62231212,1,62231226,1,62231214,1,62231207,0.5,62231202,0.666666667,62231211,1,62231239,1
62231214,0.75,62231213,0.6,62231227,0.8,62231215,1,62231208,0.666666667,62231203,0.766666667,62231212,1,62231240,0.9
62231215,1,62231214,0.8,62231228,0.7,62231216,1,62231210,0.5,62231204,0.6,62231213,1,62231241,0.94
62231216,1,62231215,0.8,62231229,1,62231217,0.2,62231211,0.666666667,62231205,0.733333333,62231214,1,62231242,0.66
62231217,1,62231216,0.6,62231230,0.4,62231218,1,62231212,0.5,62231206,0.466666667,62231215,0.990384615,62231243,0.94
62231218,0.833333333,62231217,0.2,62231231,1,62231219,1,62231213,0.666666667,62231207,0.733333333,62231216,0.990384615,62231245,1
62231219,1,62231218,0.4,62231232,0.6,62231222,1,62231214,0.5,62231208,0.733333333,62231218,0.990384615,62231246,0.96
62231221,0.88,62231219,0.8,62231234,0.8,62231223,1,62231215,0.5,62231210,0.866666667,62231219,1,62231247,0.94
62231222,0.909090909,62231221,0.6,62231235,0.8,62231224,1,62231216,0.5,62231211,0.733333333,62231221,1,62231248,0.92
62231223,0.928571429,62231222,0.8,62231236,1,62231225,1,62231217,1,62231212,0.666666667,62231222,1,62231249,0.9
62231224,0.769230769,62231223,0.8,62231237,1,62231226,1,62231218,0.833333333,62231213,0.6,62231223,1,62231250,0.94
62231225,0.823529412,62231224,1,62231238,1,62231227,1,62231219,0.333333333,62231214,0.6,62231225,1,62231251,0.9
62231226,0.866666667,62231225,0.4,62231239,0.9,62231228,1,62231222,0.833333333,62231215,0.8,62231226,1,62231254,0.96
62231227,0.916666667,62231226,0.6,62231240,1,62231229,1,62231223,0.666666667,62231216,0.866666667,62231227,1,62231255,0.82
62231228,1,62231227,0.6,62231241,0.9,62231230,1,62231224,0.666666667,62231217,0.8,62231228,1,62231257,0.98
62231229,0.857142857,62231228,0.8,62231242,0.7,62231231,1,62231225,0.833333333,62231218,1,62231229,1,62231301,0.9
62231230,1,62231230,1,62231243,0.7,62231232,1,62231226,0.333333333,62231219,0.666666667,62231230,0.990384615,62231302,0.98
62231231,1,62231231,0.6,62231244,0.7,62231234,1,62231227,0.666666667,62231221,0.566666667,62231231,1,62231303,1
62231232,0.714285714,62231232,0.6,62231245,1,62231235,1,62231228,0.5,62231222,0.733333333,62231232,1,62231304,0.98
62231234,0.923076923,62231234,0.4,62231246,1,62231236,1,62231229,0.5,62231223,0.733333333,62231234,0.980769231,62231305,1
62231235,1,62231235,0.2,62231247,0.8,62231237,1,62231230,0.666666667,62231224,0.733333333,62231235,1,62231306,0.96
62231236,0.923076923,62231236,0.8,62231248,1,62231238,0.4,62231231,0.5,62231225,0.8,62231236,1,62231307,0.98
62231237,1,62231237,0.8,62231249,0.8,62231239,1,62231232,0.833333333,62231226,0.866666667,62231237,1,62231308,0.9
62231238,0.941176471,62231238,0.8,62231251,0.9,62231240,1,62231234,0.5,62231227,0.533333333,62231238,0.953347578,62231309,0.56
62231239,1,62231239,0.8,62231253,1,62231241,1,62231235,0.5,62231228,0.733333333,62231239,1,62231310,0.94
62231240,0.8125,62231240,0.8,62231254,0.6,62231242,1,62231236,0.666666667,62231229,0.666666667,62231240,1,62231311,0.96
62231241,0.928571429,62231241,1,62231255,0.6,62231243,1,62231237,0.833333333,62231230,0.733333333,62231241,1,62231312,0.94
62231242,0.785714286,62231242,0.8,62231256,1,62231244,1,62231238,0.666666667,62231231,0.8,62231242,1,62231313,0.9
62231243,0.916666667,62231243,0.8,62231257,0.6,62231245,1,62231239,0.666666667,62231232,0.8,62231243,1,62231314,0.98
62231244,0.928571429,62231244,0.6,62231258,1,62231246,0.8,62231240,0.5,62231234,0.733333333,62231244,1,62231315,0.8
62231245,1,62231245,1,62231301,1,62231247,1,62231241,0.5,62231235,0.733333333,62231245,1,62231316,0.66
62231246,0.789473684,62231246,0.6,62231302,0.9,62231248,1,62231242,0.666666667,62231236,0.8,62231246,1,62231317,0.9
62231247,0.923076923,62231247,0.6,62231303,0.7,62231249,1,62231243,0.5,62231237,0.866666667,62231247,0.980769231,62231318,0.98
62231248,1,62231248,1,62231304,1,62231250,1,62231244,0.666666667,62231238,0.866666667,62231248,1,62231319,0.96
62231249,0.6875,62231249,0.8,62231305,1,62231251,1,62231245,0.5,62231239,0.8,62231249,0.981481481,62231320,0.88
62231250,0.769230769,62231250,0.8,62231306,0.8,62231253,1,62231246,0.666666667,62231240,0.466666667,62231250,1,62231322,0.98
62231251,1,62231251,1,62231307,1,62231254,1,62231247,0.333333333,62231241,0.8,62231251,1,62231323,0.94
62231253,1,62231253,0.6,62231308,0.8,62231255,1,62231248,0.5,62231242,0.533333333,62231253,1,62231324,1
62231254,0.923076923,62231254,1,62231309,0.9,62231256,0.8,62231249,0.166666667,62231243,0.666666667,62231254,0.990384615,62231326,0.98
62231255,1,62231255,0.8,62231310,0.8,62231257,1,62231250,0.5,62231244,0.8,62231255,0.965517241,62231329,0.9
62231256,1,62231256,0.8,62231311,1,62231258,1,62231251,0.5,62231245,0.866666667,62231256,1,62231330,0.96
62231257,0.916666667,62231257,1,62231312,1,62231301,1,62231253,0.666666667,62231246,0.733333333,62231257,1,62231331,0.9
62231258,0.666666667,62231258,0.4,62231313,1,62231302,1,62231254,0.666666667,62231247,0.8,62231258,1,62231332,0.96
62231301,0.866666667,62231301,0.8,62231314,0.9,62231303,0.6,62231255,0.5,62231248,0.8,62231301,1,62231333,0.96
62231302,0.909090909,62231302,0.8,62231315,0.9,62231304,1,62231257,0.666666667,62231249,0.666666667,62231302,1,62231334,1
62231303,0.933333333,62231303,0.8,62231316,0.5,62231305,1,62231258,0.666666667,62231250,0.8,62231303,0.990384615,62231335,0.52
62231304,0.916666667,62231304,0.4,62231317,1,62231306,0.8,62231301,0.666666667,62231251,0.533333333,62231304,1,62231336,0.94
62231305,0.833333333,62231305,1,62231318,1,62231307,1,62231302,0.666666667,62231253,0.8,62231305,1,62231337,0.98
62231306,0.923076923,62231306,1,62231319,0.9,62231308,1,62231303,0.833333333,62231254,0.6,62231306,0.652644231,62231338,0.98
62231307,0.916666667,62231307,0.8,62231320,1,62231309,1,62231304,0.5,62231255,0.4,62231307,1,62231339,0.96
62231308,0.923076923,62231308,0.2,62231322,1,62231310,1,62231305,0.333333333,62231256,0.8,62231308,1,62231340,0.94
62231309,0.909090909,62231309,0.8,62231323,0.9,62231311,0.8,62231306,0.5,62231257,0.733333333,62231309,0.953983516,62231342,0.96
62231310,0.923076923,62231310,0.6,62231324,0.9,62231312,1,62231307,0.666666667,62231258,0.8,62231310,1,62231343,0.84
62231311,1,62231311,1,62231326,0.5,62231313,1,62231308,0.5,62231301,0.8,62231311,0.990384615,62231344,0.98
62231312,1,62231312,0.6,62231329,0.6,62231314,1,62231309,0.5,62231302,0.866666667,62231312,0.948717949,62231345,0.96
62231313,1,62231313,0.4,62231330,1,62231315,1,62231310,0.666666667,62231303,0.666666667,62231313,1,62231346,0.96
62231314,0.714285714,62231314,0.8,62231331,0.9,62231316,1,62231311,0.5,62231304,0.733333333,62231314,1,62231347,0.92
62231315,0.785714286,62231315,0.6,62231332,0.9,62231317,1,62231312,0.166666667,62231305,0.733333333,62231315,0.980384615,62231402,0.88
62231316,0.916666667,62231316,0.6,62231333,0.9,62231318,1,62231313,0.833333333,62231306,0.8,62231316,1,62231403,0.98
62231317,0.846153846,62231317,1,62231334,1,62231319,1,62231314,0.833333333,62231307,0.933333333,62231317,0.990384615,62231404,0.54
62231318,0.866666667,62231318,0.6,62231335,0.4,62231320,1,62231315,0.333333333,62231308,1,62231318,1,62231406,0.98
62231319,1,62231319,0.8,62231336,1,62231323,0.4,62231316,0.666666667,62231309,0.8,62231319,0.990384615,62231407,0.98
62231320,0.857142857,62231320,0.8,62231337,1,62231324,1,62231317,0.5,62231310,0.733333333,62231320,0.963598901,62231408,0.94
62231322,0.923076923,62231322,0.7,62231338,0.8,62231326,1,62231318,0.5,62231311,0.666666667,62231322,1,62231409,0.84
62231323,0.714285714,62231323,0.8,62231339,1,62231329,0.8,62231319,0.666666667,62231312,0.6,62231323,1,62231411,0.98
62231324,1,62231324,0.8,62231340,0.9,62231330,0.6,62231320,0.833333333,62231313,0.933333333,62231324,1,62231412,0.94
62231326,0.916666667,62231326,1,62231342,0.8,62231331,1,62231323,0.5,62231314,0.933333333,62231326,0.981481481,62231413,0.94
62231329,1,62231329,0.4,62231343,1,62231332,1,62231324,0.5,62231315,0.466666667,62231329,1,62231414,0.92
62231330,0.818181818,62231330,1,62231344,0.6,62231333,1,62231326,0.666666667,62231316,0.733333333,62231330,1,62231415,0.54
62231331,1,62231331,0.4,62231345,1,62231334,1,62231329,0.5,62231317,0.666666667,62231331,1,62231416,0.96
62231332,0.7,62231332,0.8,62231346,1,62231335,1,62231330,0.666666667,62231318,0.733333333,62231332,0.990384615,62231418,0.92
62231334,1,62231333,1,62231347,0.5,62231336,1,62231331,1,62231319,0.666666667,62231333,1,62231419,0.72
62231335,0.769230769,62231334,1,62231401,0.7,62231338,1,62231332,0,62231320,0.733333333,62231334,1,62231420,1
62231336,1,62231335,0.8,62231402,0.9,62231339,1,62231333,0.833333333,62231322,0.866666667,62231335,0.990384615,62231421,1
62231337,0.923076923,62231336,0.6,62231403,1,62231340,1,62231334,0.666666667,62231323,0.466666667,62231336,1,62231422,0.84
62231338,0.909090909,62231337,0.6,62231404,0.7,62231342,1,62231335,0.666666667,62231324,0.666666667,62231337,1,62231423,0.96
62231339,0.625,62231338,0.4,62231405,0.6,62231343,1,62231336,0.666666667,62231326,0.866666667,62231338,0.909340659,62231424,0.96
62231340,1,62231339,0.6,62231406,0.5,62231344,1,62231338,0.5,62231329,0.6,62231339,0.981481481,62231425,0.74
62231342,0.642857143,62231340,0.6,62231407,0.9,62231345,0.8,62231339,0.333333333,62231330,0.8,62231340,1,62231426,0.98
62231343,0.909090909,62231342,0.6,62231408,1,62231346,0.8,62231340,0.5,62231331,0.6,62231342,1,62231427,0.94
62231344,0.8,62231343,0.4,62231409,0.8,62231347,1,62231342,0.666666667,62231332,0.8,62231343,0.990384615,62231428,0.82
62231345,0.857142857,62231344,0.8,62231411,0.5,62231401,0.8,62231343,0.333333333,62231333,0.933333333,62231344,1,62231429,0.96
62231346,0.583333333,62231345,1,62231412,1,62231402,0.6,62231344,0.166666667,62231334,0.6,62231345,1,62231431,0.98
62231347,0.909090909,62231346,1,62231413,0.6,62231403,0.8,62231345,0.5,62231335,0.533333333,62231346,1,62231433,1
62231401,0.636363636,62231347,0.8,62231414,0.8,62231404,0.6,62231346,0.666666667,62231336,0.866666667,62231347,0.971866097,62231434,0.92
62231402,0.647058824,62231401,0.8,62231415,0.7,62231405,0.8,62231347,0,62231337,0.766666667,62231401,0.990384615,62231435,0.94
62231403,0.909090909,62231402,0.2,62231416,0.6,62231406,0.8,62231401,1,62231338,0.666666667,62231402,1,62231436,0.92
62231404,0.533333333,62231403,0.6,62231417,0.4,62231407,1,62231402,0.5,62231339,0.933333333,62231403,1,62231437,0.96
62231405,0.733333333,62231404,0.6,62231418,0.8,62231408,0.4,62231403,0.833333333,62231340,0.666666667,62231404,1,62231438,0.96
62231406,0.888888889,62231405,0.6,62231420,1,62231409,0.6,62231404,0.333333333,62231342,0.6,62231405,1,62231439,0.92
62231407,0.785714286,62231406,1,62231421,1,62231411,1,62231405,0.666666667,62231343,0.733333333,62231406,0.990384615,62231440,1
62231408,0.8,62231407,1,62231422,0.8,62231412,1,62231406,0.5,62231344,0.733333333,62231407,1,62231441,0.88
62231409,0.909090909,62231408,1,62231423,1,62231413,1,62231407,1,62231345,0.533333333,62231408,1,62231442,1
62231411,0.833333333,62231409,1,62231424,0.8,62231414,1,62231408,0.666666667,62231346,0.666666667,62231409,1,62231443,0.96
62231412,0.6875,62231411,1,62231425,1,62231415,1,62231409,0.5,62231347,0.6,62231411,1,62231444,0.98
62231413,1,62231412,0.8,62231426,0.4,62231416,0,62231411,0.833333333,62231401,1,62231412,0.990384615,62231445,0.92
62231414,0.928571429,62231413,1,62231427,1,62231417,0.6,62231412,0.666666667,62231402,0.8,62231413,1,62231446,0.94
62231415,0.846153846,62231414,0.4,62231428,0.8,62231418,1,62231413,0.5,62231403,0.933333333,62231414,0.980769231,62231501,1
62231416,0.607142857,62231415,1,62231429,0.6,62231419,1,62231414,0.833333333,62231404,0.8,62231415,1,62231504,0.94
62231417,1,62231416,0.4,62231430,0.6,62231420,1,62231415,0.666666667,62231405,0.466666667,62231416,0.981481481,62231505,0.98
62231418,0.625,62231417,0.6,62231431,0.8,62231421,1,62231416,0.166666667,62231406,0.666666667,62231417,1,62231506,1
62231419,1,62231418,0.8,62231433,0.4,62231422,1,62231417,0.5,62231407,0.8,62231418,0.990384615,62231507,0.92
62231420,0.9,62231419,1,62231434,1,62231423,1,62231418,0.166666667,62231408,0.666666667,62231419,0.981481481,62231508,0.86
62231421,0.714285714,62231420,0.8,62231435,0.4,62231424,1,62231419,0.5,62231409,0.866666667,62231420,1,62231509,1
62231422,0.785714286,62231421,1,62231436,0.7,62231425,0.6,62231420,0.666666667,62231411,0.733333333,62231421,1,62231510,0.96
62231423,0.833333333,62231422,0.6,62231437,0.6,62231426,0.8,62231421,0.833333333,62231412,0.6,62231422,1,62231511,0.98
62231424,0.666666667,62231423,1,62231438,0.5,62231427,0.6,62231422,1,62231413,0.533333333,62231423,0.990384615,62231512,0.94
62231425,0.928571429,62231424,1,62231439,0.7,62231428,1,62231423,0.5,62231414,0.466666667,62231424,0.973214286,62231514,0.92
62231426,0.888888889,62231425,0.4,62231440,0.5,62231429,0.6,62231424,0.5,62231415,0.533333333,62231425,0.971866097,62231515,0.94
62231427,0.785714286,62231426,1,62231441,0.6,62231430,1,62231425,0.5,62231416,0.6,62231426,0.981481481,62231516,0.98
62231428,0.571428571,62231428,1,62231442,0.4,62231431,0.8,62231426,0.5,62231417,0.6,62231427,0.971866097,62231517,0.94
62231429,0.666666667,62231429,0.4,62231443,0.9,62231433,0.8,62231427,1,62231418,0.8,62231428,1,62231519,0.92
62231430,0.818181818,62231430,0.8,62231444,1,62231434,1,62231428,0.666666667,62231419,0.6,62231429,0.990384615,62231520,1
62231431,0.5,62231431,0.2,62231445,0.8,62231435,1,62231429,0.666666667,62231420,0.8,62231430,0.990384615,62231521,0.98
62231433,0.857142857,62231433,0.8,62231446,0.5,62231436,1,62231430,0.666666667,62231421,0.866666667,62231431,1,62231523,0.84
62231434,0.727272727,62231434,0.8,62231501,0.6,62231437,1,62231431,0.333333333,62231422,0.533333333,62231433,1,62231527,0.72
